binname	contiglength	mean_read_length	coverage	damage	GC
Lib4_6_bin.89	3349	104.7	26.8	0.148	0.564
Lib4_6_bin.89	3278	104.4	26.7	0.2	0.523
Lib4_6_bin.89	4901	109.9	28.7	0.034	0.580
Lib4_6_bin.89	21345	109.2	33	0.097	0.568
Lib3_9_bin.45	4083	135.5	94.5	0.041	0.501
Lib3_9_bin.45	38298	134.8	91.7	0.026	0.539
Lib3_9_bin.45	6067	135	86.9	0.051	0.525
Lib3_9_bin.45	6260	135.8	80.5	0.052	0.538
Lib3_9_bin.45	16959	135.7	82.6	0.02	0.470
Lib3_9_bin.45	4985	133.7	75.7	0.111	0.553
Lib3_9_bin.45	5308	135	83.2	0.014	0.533
Lib3_9_bin.45	9128	134.8	84	0	0.529
Lib3_9_bin.45	15000	135.3	72.6	0.022	0.525
Lib3_9_bin.45	5131	130.5	80.9	0.043	0.538
Lib3_9_bin.45	54036	133	80.6	0.058	0.539
Lib3_9_bin.45	2984	129.1	67.2	0	0.564
Lib3_9_bin.45	34374	135.7	89.6	0.026	0.542
Lib3_9_bin.45	24929	134.3	79.2	0.044	0.537
Lib3_9_bin.45	43103	136.8	78.8	0.026	0.537
Lib3_9_bin.45	12541	135.3	74.8	0.047	0.531
Lib3_9_bin.45	11312	133.4	99.6	0.018	0.523
Lib3_9_bin.45	15807	132.3	80.5	0.007	0.551
Lib3_9_bin.45	9176	133.5	87.1	0.037	0.544
Lib3_9_bin.45	3690	135.1	98.2	0.081	0.500
Lib3_9_bin.45	3396	130.6	68.7	0	0.573
Lib3_9_bin.45	18434	132.9	81.3	0.02	0.549
Lib3_9_bin.45	4378	129.3	80.4	0.024	0.553
Lib3_9_bin.45	5093	136.5	78.9	0	0.544
Lib3_9_bin.45	8088	135.9	88	0.034	0.540
Lib3_9_bin.45	10715	132.1	80.3	0.046	0.523
Lib3_9_bin.45	5325	132.3	73.2	0.133	0.545
Lib3_9_bin.45	16054	133.7	81.6	0.013	0.532
Lib3_9_bin.45	7760	131.7	75.2	0.034	0.551
Lib3_9_bin.45	5883	132.4	75.6	0.022	0.560
Lib3_9_bin.45	4245	135.7	81.8	0.039	0.527
Lib3_9_bin.45	15137	131.6	79.2	0.043	0.543
Lib3_9_bin.45	4777	132.5	78.8	0.032	0.544
Lib3_9_bin.45	21072	135.4	85.2	0.028	0.521
Lib3_9_bin.45	5534	136.7	78	0	0.531
Lib3_9_bin.45	10485	134.1	81	0.041	0.537
Lib3_9_bin.45	8109	134.2	74	0.018	0.526
Lib3_9_bin.45	13362	133.5	87.4	0.017	0.531
Lib3_9_bin.45	4501	126.7	88.2	0.049	0.532
Lib3_9_bin.45	6332	130.7	76.7	0.05	0.558
Lib3_9_bin.45	35527	134.3	83	0.031	0.549
Lib3_9_bin.45	5107	130.5	75.8	0	0.512
Lib3_9_bin.45	8074	129.1	76.8	0.024	0.552
Lib3_9_bin.45	3634	136.1	85.6	0.016	0.520
Lib3_9_bin.45	3470	139.9	67.8	0.045	0.521
Lib3_9_bin.45	5357	134.8	87.2	0.007	0.529
Lib3_9_bin.45	34069	135	85.1	0.024	0.512
Lib3_9_bin.45	6763	138	73.3	0	0.508
Lib3_9_bin.45	4639	137.3	73.2	0.048	0.557
Lib3_9_bin.45	12006	136.1	75.6	0	0.513
Lib3_9_bin.45	9223	131.8	66.7	0.065	0.557
Lib3_9_bin.45	11566	134.4	90.5	0.041	0.516
Lib3_9_bin.45	33549	135.2	84.5	0.025	0.541
Lib3_9_bin.45	5562	132.1	87.7	0.022	0.553
Lib3_9_bin.45	3013	132.3	68.7	0.036	0.538
Lib3_9_bin.45	5256	132.4	82.4	0.05	0.520
Lib3_9_bin.45	12435	138.1	80.7	0.015	0.550
Lib3_9_bin.45	10690	134	94.4	0.067	0.515
Lib3_9_bin.45	3825	133.2	86.2	0.027	0.534
Lib3_9_bin.45	9378	129.6	80.7	0.028	0.558
Lib3_9_bin.45	4304	125.9	72.7	0.102	0.524
Lib3_9_bin.45	28116	133	83.8	0.046	0.542
Lib3_9_bin.45	6736	131.8	77.8	0.026	0.536
Lib3_9_bin.45	3545	135.3	69.6	0	0.522
Lib3_9_bin.45	17746	134.8	82.8	0.032	0.542
Lib3_9_bin.45	8097	132.1	84.4	0.031	0.558
Lib3_9_bin.45	11188	132.1	86.9	0.07	0.506
Lib3_9_bin.45	9836	133.9	86	0.073	0.541
Lib3_9_bin.45	5456	133.9	84.9	0.044	0.540
Lib3_9_bin.45	13911	133.9	81.2	0.02	0.551
Lib3_9_bin.45	12853	136.9	87.8	0.022	0.524
Lib3_9_bin.45	3433	130.7	94	0.013	0.483
Lib3_9_bin.45	8735	133.7	92.8	0.02	0.540
Lib3_9_bin.45	3580	137.5	93.6	0.003	0.556
Lib3_9_bin.45	21740	134.8	85.2	0.032	0.515
Lib3_9_bin.45	27737	134.4	82.2	0.004	0.526
Lib3_9_bin.45	10656	136	97.9	0.028	0.521
Lib3_9_bin.45	13699	133.4	83.2	0.032	0.546
Lib3_9_bin.45	2986	132.1	91.8	0.062	0.514
Lib3_9_bin.45	18724	132.5	80.3	0.035	0.538
Lib3_9_bin.45	7446	136.6	75.9	0.129	0.554
Lib3_9_bin.45	14097	132.4	84.4	0.058	0.526
Lib3_9_bin.45	5905	135.1	81.8	0.009	0.568
Lib3_9_bin.45	5803	136.1	81.3	0.031	0.540
Lib3_9_bin.45	5137	134.2	83	0.049	0.517
Lib3_9_bin.45	7539	134.1	87.4	0.027	0.543
Lib3_9_bin.45	6150	131.5	73.2	0.138	0.542
Lib3_9_bin.45	18594	134.5	85.4	0.071	0.522
Lib3_9_bin.45	2575	131.4	90.9	0.092	0.528
Lib3_9_bin.45	4234	131.1	83.6	0	0.539
Lib3_9_bin.45	42934	133.9	85.1	0.035	0.546
Lib3_9_bin.45	14513	134.7	82	0.013	0.555
Lib3_9_bin.45	11736	131.6	78.7	0.032	0.544
Lib3_9_bin.45	11574	129.9	87.5	0.012	0.542
Lib3_9_bin.45	8773	132.7	75	0.035	0.559
Lib3_9_bin.45	8424	137.1	82.1	0.024	0.531
Lib3_9_bin.45	23720	135.8	83.9	0.017	0.539
Lib3_9_bin.45	6233	133.9	66.4	0.025	0.570
Lib3_9_bin.45	9447	130.3	80	0.073	0.528
Lib3_9_bin.45	3770	135.2	85.9	0.074	0.509
Lib3_9_bin.45	7192	134	84.3	0.072	0.586
Lib3_9_bin.45	10718	134.9	81	0.08	0.552
Lib3_9_bin.45	2764	139.2	79.8	0	0.522
Lib3_9_bin.45	8575	131.1	84.9	0.021	0.547
Lib3_9_bin.45	5595	137.4	82.4	0.026	0.533
Lib3_9_bin.45	19763	133.9	88.3	0.075	0.543
Lib3_9_bin.45	16380	134.9	87.8	0.029	0.537
Lib3_9_bin.45	8517	136	89.5	0.012	0.550
Lib3_9_bin.45	15879	132.2	90.6	0.021	0.546
Lib3_9_bin.45	35660	133.9	89.4	0.041	0.541
Lib3_9_bin.45	2763	134.2	80.3	0.049	0.525
Lib3_9_bin.45	4254	136	75	0.04	0.549
Lib3_9_bin.45	34507	133.5	80.1	0.054	0.572
Lib3_9_bin.45	45641	133.5	91.3	0.061	0.554
Lib3_9_bin.45	15370	133.4	79.7	0.053	0.538
Lib3_9_bin.45	28575	135.1	80.6	0.034	0.553
Lib3_9_bin.45	5634	136.8	98.6	0.087	0.531
Lib3_9_bin.45	29256	134.4	84.7	0.038	0.552
Lib3_9_bin.45	22648	133.1	81	0.066	0.516
Lib3_9_bin.45	12938	137.5	78.3	0.027	0.515
Lib3_9_bin.45	26345	135.1	94.9	0.037	0.520
Lib3_9_bin.45	37553	133.2	79.2	0.015	0.539
Lib3_9_bin.45	15186	136.1	91.5	0.041	0.531
Lib3_9_bin.45	3290	135.5	77.2	0	0.549
Lib3_9_bin.45	4341	134.6	70.3	0	0.564
Lib3_9_bin.45	22348	133.7	89.7	0.029	0.534
Lib3_9_bin.45	11154	137.1	86.8	0.028	0.556
Lib3_9_bin.45	4467	136.2	81.2	0.081	0.550
Lib3_9_bin.45	7488	137.1	79.4	0.068	0.558
Lib3_9_bin.45	22761	133	91.5	0.02	0.491
Lib3_9_bin.45	8338	135.6	82.7	0.01	0.516
Lib3_9_bin.45	21820	133.1	83.3	0.019	0.549
Lib3_9_bin.45	3274	136.1	79.2	0.076	0.545
Lib3_9_bin.45	4189	133.9	70.9	0	0.581
Lib3_9_bin.45	27278	134.6	78.4	0.034	0.547
Lib3_9_bin.45	27616	135.3	82	0.053	0.549
Lib3_9_bin.45	11429	133.9	89.4	0.016	0.514
Lib3_9_bin.45	9661	132.8	76.4	0.005	0.545
Lib3_9_bin.45	11654	134.2	81.7	0.038	0.547
Lib3_9_bin.45	8836	134.6	91	0.053	0.507
Lib3_9_bin.45	12253	137.9	77.3	0.021	0.566
Lib3_9_bin.45	7353	136.3	74.8	0.095	0.561
Lib3_9_bin.45	6264	136.6	85	0.005	0.545
Lib3_9_bin.45	10816	136.1	78.5	0.015	0.545
Lib3_9_bin.45	32963	134.6	80.5	0.06	0.555
Lib3_9_bin.45	21545	134.4	79.8	0.07	0.550
s02_bin.216	6309	176.2	156.8	0.046	0.410
s02_bin.216	19369	163.1	182.5	0.014	0.415
s02_bin.216	5536	160.1	165.3	0.011	0.397
s02_bin.216	24611	178.6	139.3	0.034	0.405
s02_bin.216	7163	173.9	133.4	0.068	0.464
s02_bin.216	7040	173.7	143.5	0.049	0.434
s02_bin.216	4154	176	165.8	0.017	0.392
s02_bin.216	9672	173.3	134.2	0.031	0.452
s02_bin.216	9993	171.4	163.8	0.033	0.419
s02_bin.216	13181	142	218.6	0.009	0.424
s02_bin.216	9238	172.7	147.8	0.029	0.419
s02_bin.216	17612	177	155.2	0.022	0.410
s02_bin.216	17215	170.4	186.8	0.016	0.411
s02_bin.216	5152	163.5	166.4	0.021	0.424
s02_bin.216	14079	171.6	159.8	0.034	0.432
s02_bin.216	6773	164.5	160.2	0.048	0.428
s02_bin.216	4256	174.5	154.6	0.025	0.409
s02_bin.216	5713	175	130.6	0.023	0.421
s02_bin.216	15295	177	137.5	0.051	0.409
s02_bin.216	3295	176.7	219.4	0.016	0.424
s02_bin.216	4229	176	148.7	0.02	0.424
s02_bin.216	5031	181	152.4	0.045	0.411
s02_bin.216	7453	166.5	172.1	0.042	0.414
s02_bin.216	8076	171.5	168.3	0.025	0.417
s02_bin.216	3601	170.8	135.1	0.022	0.401
s02_bin.216	7483	174.9	149.7	0.016	0.407
s02_bin.216	2765	160.6	338.7	0.025	0.415
s02_bin.216	6931	162.4	219.3	0.009	0.405
s02_bin.216	30416	171.2	166.5	0.027	0.439
s02_bin.216	17569	178.6	155.4	0.035	0.414
s02_bin.216	8727	177.5	159.2	0.056	0.395
s02_bin.216	11165	174	149.9	0.026	0.412
s02_bin.216	6215	179.1	163.2	0.029	0.406
s02_bin.216	5078	156.5	277.9	0.011	0.410
s02_bin.216	10252	167.1	202.9	0.051	0.455
s02_bin.216	17888	172.6	116.4	0.03	0.405
s02_bin.216	4682	148.7	172.2	0.015	0.417
s02_bin.216	8060	176.4	141.4	0.038	0.419
s02_bin.216	9987	166	182.4	0.017	0.431
s02_bin.216	5253	178.6	149.3	0.056	0.400
s02_bin.216	3961	161.3	165.2	0.035	0.434
s02_bin.216	6992	171.2	149.9	0.024	0.428
s02_bin.216	11086	170.7	148.3	0.026	0.424
s02_bin.216	9666	175.6	157.3	0.035	0.419
s02_bin.216	13914	178.7	155.1	0.037	0.405
s02_bin.216	4682	171.4	148.4	0.059	0.416
s02_bin.216	4771	178.3	169.4	0.023	0.404
s02_bin.216	13878	176.3	139	0.049	0.446
s02_bin.216	15407	177.7	164.5	0.043	0.422
s02_bin.216	13970	177.5	162.7	0.028	0.416
s02_bin.216	11791	173.6	139.4	0.027	0.445
s02_bin.216	9140	162.1	269.1	0.018	0.404
s02_bin.216	4061	178.6	155.8	0.016	0.432
s02_bin.216	6521	176.2	153.1	0.012	0.416
s02_bin.216	12622	160.9	269.2	0.017	0.433
s02_bin.216	4471	172.8	143.8	0.067	0.429
s02_bin.216	18387	158.2	308.4	0.042	0.407
s02_bin.216	2502	165.7	155.1	0.066	0.415
s02_bin.216	14585	178	153.2	0.038	0.423
s02_bin.216	17198	171.7	202.8	0.013	0.430
s02_bin.216	6344	168.8	174.5	0.032	0.421
s02_bin.216	18584	180.9	168.3	0.053	0.404
s02_bin.216	17933	178.5	156	0.03	0.396
s02_bin.216	5734	149.9	1096.8	0.015	0.414
s02_bin.216	18897	174.9	148.1	0.036	0.421
s02_bin.216	5073	175.9	176.9	0.019	0.399
s02_bin.216	12190	173.3	151.1	0.035	0.398
s02_bin.216	3822	173.5	159.5	0.023	0.457
s02_bin.216	24233	174.9	144.7	0.045	0.447
s02_bin.216	8352	177.4	145	0.028	0.440
s02_bin.216	14388	178.4	158.1	0.025	0.417
s02_bin.216	10166	169.7	163.6	0.039	0.447
s02_bin.216	4800	178	130.9	0.015	0.427
s02_bin.216	12670	174	134.4	0.037	0.453
s02_bin.216	6958	172.4	154.3	0.03	0.424
s02_bin.216	21374	180.3	150.3	0.034	0.378
s02_bin.216	13490	169.7	196.3	0.02	0.425
s02_bin.216	6574	164.7	178.4	0.022	0.432
s02_bin.216	4265	165.5	182.2	0.038	0.436
s02_bin.216	5660	172.5	136.9	0.05	0.418
s02_bin.216	6967	178.3	129.9	0.046	0.391
s02_bin.216	8555	174.4	146.8	0.038	0.439
s02_bin.216	23404	177	156.3	0.032	0.397
s02_bin.216	6383	177.7	149.1	0.034	0.413
s02_bin.216	9452	176	187.2	0.016	0.387
s02_bin.216	15145	172	152.5	0.028	0.445
s02_bin.216	6361	175.8	166.6	0.024	0.439
s02_bin.216	9169	179	153	0.019	0.410
s02_bin.216	9407	161.6	227.9	0.025	0.440
s02_bin.216	9797	176	157	0.013	0.414
s02_bin.216	3689	176.7	151.2	0.048	0.397
s02_bin.216	10121	170.7	130.8	0.012	0.418
s02_bin.216	5495	177.7	145.9	0.017	0.425
s02_bin.216	5770	171.7	143.4	0.066	0.379
s02_bin.216	10551	173.6	173.3	0.02	0.418
s02_bin.216	10995	178.2	139.6	0.034	0.435
s02_bin.216	2730	179.2	144.5	0	0.421
s02_bin.216	9646	174.2	140	0.024	0.444
s02_bin.216	15239	175.8	182.4	0.023	0.405
s02_bin.216	10365	170.4	169.9	0.016	0.411
s02_bin.216	7630	168.8	200.5	0.046	0.420
s02_bin.216	6329	175.2	141.7	0.014	0.429
s02_bin.216	18892	178.4	158.8	0.053	0.411
s02_bin.216	4381	173.5	144.8	0.019	0.405
s02_bin.216	9461	151.8	172.4	0.023	0.395
s02_bin.216	3666	175.6	149.4	0.041	0.428
s02_bin.216	19408	180	125.4	0.044	0.408
s02_bin.216	4625	175.4	148.7	0.032	0.416
s02_bin.216	8649	178.3	134.5	0.039	0.410
s02_bin.216	2906	169.9	130	0.047	0.447
s02_bin.216	7625	172.4	147.3	0.043	0.444
s02_bin.216	4649	177.8	139.2	0.042	0.419
s02_bin.216	5616	166.9	166.9	0.032	0.397
s02_bin.216	6668	158.7	257.6	0.034	0.392
s02_bin.216	7536	175.6	152.3	0.02	0.425
s02_bin.216	14062	178	158.1	0.069	0.402
s02_bin.216	8452	176.7	140.4	0.017	0.412
s02_bin.216	6918	173.8	171.9	0.013	0.401
s02_bin.216	3009	175.6	133	0.01	0.462
s02_bin.216	15226	170.8	173.4	0.029	0.427
s02_bin.216	11242	172.5	153.3	0.037	0.440
s02_bin.216	6426	172.1	148	0.049	0.429
s02_bin.216	7826	163.4	396.2	0.036	0.410
s02_bin.216	9865	173.5	186.2	0.015	0.436
s02_bin.216	5457	168.2	185.3	0.028	0.435
s02_bin.216	2975	167.6	132.7	0.011	0.463
s02_bin.216	4911	154.4	192.8	0.01	0.428
s02_bin.216	17737	179.4	151.2	0.042	0.419
s02_bin.216	9670	180.3	129.7	0.1	0.411
s02_bin.216	4779	178.3	127.7	0.089	0.432
s02_bin.216	11946	177.1	148.9	0.048	0.440
s02_bin.216	4942	172.5	128.1	0.086	0.451
s02_bin.216	5336	174.1	150.9	0.032	0.433
s02_bin.216	10047	179.1	154.1	0.029	0.425
s02_bin.216	3456	169.7	153.4	0.051	0.431
s02_bin.216	8106	172.8	152.5	0.025	0.432
s02_bin.216	5657	159.6	182.5	0.012	0.438
s02_bin.216	11639	174.8	139.2	0.049	0.447
s02_bin.216	15859	177.2	155.7	0.028	0.427
s02_bin.216	12701	174.7	152.6	0.038	0.409
s02_bin.216	11900	162.9	556.6	0.011	0.41
s02_bin.216	3822	162.7	185.9	0.048	0.414
s02_bin.216	3166	173.7	149.7	0.039	0.421
s02_bin.216	8435	174.8	148.7	0.035	0.421
s02_bin.216	6935	178.8	134.8	0.032	0.445
s02_bin.216	10025	173.6	152.1	0.024	0.411
s02_bin.216	11265	166.7	204.5	0.021	0.431
s02_bin.216	4725	170.2	156.9	0.012	0.438
s02_bin.216	6699	169.9	158.7	0.015	0.417
s02_bin.216	5575	179.8	208.2	0.026	0.418
s02_bin.216	15943	176.1	158.5	0.058	0.452
s02_bin.216	7768	176.3	158.1	0.022	0.412
s02_bin.216	8017	174.1	162.1	0.02	0.410
s02_bin.216	5142	172.2	155.3	0.033	0.423
s02_bin.216	4260	167.2	148.6	0.036	0.455
s02_bin.216	5774	162.4	187.4	0.018	0.420
s02_bin.216	2898	173.9	144.4	0.039	0.439
s02_bin.216	5945	174.1	218.6	0.036	0.442
s02_bin.216	26193	171.7	193.4	0.015	0.417
s02_bin.216	14721	166.4	160	0.02	0.443
s02_bin.216	12129	176.5	163.3	0.027	0.410
s02_bin.216	12412	172.8	160.7	0.029	0.431
s02_bin.216	10350	174.8	146.9	0.073	0.398
s02_bin.216	6904	173.4	127.3	0.041	0.451
s02_bin.216	7537	173.6	161	0.044	0.420
s02_bin.216	2629	172.1	135	0.033	0.430
s02_bin.216	13535	156.6	187.5	0.024	0.439
s02_bin.216	6032	160	187.8	0.019	0.426
s02_bin.216	7936	177.8	148	0.023	0.413
s02_bin.216	5463	179.5	146	0.041	0.421
s02_bin.216	4571	172.2	139.6	0.071	0.440
s02_bin.216	3735	177.7	151.2	0.046	0.389
s02_bin.216	6235	177.1	135.8	0.05	0.447
s02_bin.216	7812	164.8	180.5	0.019	0.425
s02_bin.216	4174	179.3	162.7	0.043	0.397
s02_bin.216	4819	169.6	179.5	0.033	0.406
s02_bin.216	7817	173	139.1	0.047	0.413
s02_bin.216	5454	172.8	130.6	0.011	0.440
s02_bin.216	7735	176.7	145.7	0.019	0.432
s02_bin.216	3351	173.5	148.8	0.035	0.433
s02_bin.216	9894	176.3	157.7	0.019	0.419
s02_bin.216	5050	178.2	154	0.062	0.411
s02_bin.216	4097	173.3	157	0.051	0.429
s02_bin.216	9139	180.8	137.2	0.051	0.376
s02_bin.216	10873	166.5	227.8	0.021	0.432
s02_bin.216	8264	175.4	143.2	0.029	0.439
s02_bin.216	20557	177	141.7	0.024	0.440
s02_bin.216	13291	166.6	199.7	0.015	0.420
s02_bin.216	8212	173.1	176.4	0.03	0.430
s02_bin.216	4774	173.9	129.8	0.016	0.418
s02_bin.216	3377	165.1	137.5	0.043	0.405
s02_bin.216	7036	149.2	262.1	0.004	0.446
s02_bin.216	3361	176.5	151.8	0.079	0.405
s02_bin.216	13584	176.4	135.7	0.03	0.455
s02_bin.216	5230	165.9	196.3	0.01	0.424
s02_bin.216	15269	172.3	156.7	0.019	0.416
s02_bin.216	6639	167.2	155.4	0.018	0.408
s02_bin.216	8117	176.2	142.9	0.04	0.461
s02_bin.216	7593	183.3	130.2	0.094	0.392
s02_bin.216	6506	178.1	151.1	0.018	0.442
s02_bin.216	10044	176.1	147.5	0.037	0.442
s02_bin.216	5501	168.4	180	0.015	0.396
s02_bin.216	6064	173.5	143.4	0.054	0.415
s02_bin.216	6820	179.3	156.7	0.022	0.406
s02_bin.216	12359	178.3	154.1	0.021	0.424
s02_bin.216	5587	170.4	172.2	0.034	0.416
s02_bin.216	16725	180.1	132.6	0.055	0.411
s02_bin.216	9192	174.3	146.7	0.036	0.433
s02_bin.216	22669	172.8	161.5	0.03	0.431
s02_bin.216	6053	176.9	149.8	0.04	0.429
s02_bin.216	23625	181.9	138.6	0.029	0.386
s02_bin.216	15361	177.1	146.9	0.038	0.399
s02_bin.216	5712	171.3	150.4	0.025	0.439
s02_bin.216	4144	174.4	150	0.048	0.425
s02_bin.216	14930	177.7	161.2	0.045	0.393
s02_bin.216	2648	172.8	155.3	0.012	0.397
s02_bin.216	3150	176.6	166.4	0.017	0.415
Lib4_6_bin.120	3063	118	32.3	0.049	0.387
Lib4_6_bin.120	3697	123.9	18.6	0	0.387
Lib4_6_bin.120	3783	104.4	29.8	0	0.352
Lib4_6_bin.120	4081	123.2	32.5	0.029	0.402
Lib4_6_bin.120	3174	125.8	35.8	0.057	0.386
Lib4_6_bin.120	5541	114.6	23.8	0.077	0.360
Lib4_6_bin.120	4627	126	33.5	0.033	0.426
Lib4_6_bin.120	4007	121.6	33.5	0.025	0.385
Lib4_6_bin.120	4202	114	24.9	0.025	0.381
Lib4_6_bin.120	2531	126.1	35.2	0.032	0.385
Lib4_6_bin.120	3709	119.8	28.8	0.038	0.375
Lib4_6_bin.120	4378	123.6	29.5	0.026	0.409
Lib4_6_bin.120	6188	121	18	0.071	0.374
Lib4_6_bin.120	2858	126.3	26.4	0	0.383
Lib4_6_bin.120	8182	121.6	43.4	0.049	0.403
Lib4_6_bin.120	6802	119.2	36.6	0.026	0.416
Lib4_6_bin.120	3273	123.4	31.2	0.021	0.404
Lib4_6_bin.120	3674	122.1	24.1	0.062	0.388
Lib4_6_bin.120	5271	117.6	21.7	0.044	0.383
Lib4_6_bin.120	4249	123.1	35.5	0.018	0.383
Lib4_6_bin.120	6771	120.9	31.3	0.018	0.382
Lib4_6_bin.120	3994	123.2	35.9	0.044	0.396
Lib4_6_bin.120	7539	123.7	40.1	0.034	0.401
Lib4_6_bin.120	8483	123.8	35.9	0.039	0.398
Lib4_6_bin.120	6243	120.3	30.2	0.056	0.375
Lib4_6_bin.120	3087	124.5	41.3	0.005	0.416
Lib4_6_bin.120	3002	118.8	36.5	0	0.429
Lib4_6_bin.120	5233	122.8	37	0.011	0.396
Lib4_6_bin.120	3445	121.8	22.7	0.012	0.392
Lib4_6_bin.120	5142	118.4	31	0.019	0.410
Lib4_6_bin.120	3940	121.5	35.8	0.019	0.397
Lib4_6_bin.120	4882	122.1	28.5	0.05	0.396
Lib4_6_bin.120	4196	117.6	27.4	0.03	0.386
Lib4_6_bin.120	3892	116.9	29.3	0.024	0.396
Lib4_6_bin.120	3558	119.7	31.1	0.015	0.409
Lib4_6_bin.120	2843	122.3	32.4	0	0.387
Lib4_6_bin.120	2979	121.4	40	0.026	0.410
Lib4_6_bin.120	3741	125.7	39.8	0.025	0.419
Lib4_6_bin.120	3640	124.6	42.1	0.031	0.432
Lib4_6_bin.120	3473	124.2	32.2	0.068	0.427
Lib4_6_bin.120	2972	121.7	29.3	0.048	0.410
Lib4_6_bin.120	3545	124.2	17.5	0	0.363
Lib4_6_bin.120	4386	121.6	31.8	0.081	0.403
Lib4_6_bin.120	2901	127.9	35.8	0.019	0.420
Lib4_6_bin.120	4476	127.9	37.2	0.018	0.415
Lib4_6_bin.120	3313	120	33.1	0	0.396
Lib4_6_bin.120	4670	117.1	34.8	0.038	0.395
Lib4_6_bin.120	4669	119.8	35.4	0.018	0.422
Lib4_6_bin.120	8115	121.5	26.9	0.004	0.386
Lib4_6_bin.120	3163	118.6	32.8	0.066	0.395
Lib4_6_bin.120	11548	117.2	26.3	0.039	0.371
Lib4_6_bin.120	3516	122	30.2	0.01	0.395
Lib4_6_bin.120	2509	113.3	27	0	0.364
Lib4_6_bin.120	4928	122.7	40.9	0.016	0.405
Lib4_6_bin.120	3078	123.3	37.8	0.029	0.412
Lib4_6_bin.120	4229	123	29	0.011	0.400
Lib4_6_bin.120	3598	116.3	27	0.031	0.377
Lib4_6_bin.120	5205	116	31.1	0.026	0.384
Lib4_6_bin.120	3561	123	24.1	0.073	0.392
Lib4_6_bin.120	4796	120.2	35.5	0.044	0.409
Lib4_6_bin.120	4146	123.5	34.8	0.02	0.395
Lib4_6_bin.120	6325	121.2	33.1	0.026	0.401
Lib4_6_bin.120	3154	98.2	25.4	0.02	0.362
Lib4_6_bin.120	4010	121.8	24.5	0	0.384
Lib4_6_bin.120	2877	124.3	33.1	0.025	0.370
Lib4_6_bin.120	4427	120.7	37.7	0.057	0.388
Lib4_6_bin.120	4219	115.9	26.6	0.027	0.364
Lib4_6_bin.120	3841	122.5	35.9	0.008	0.391
Lib4_6_bin.120	3714	120.5	28.5	0.038	0.392
Lib4_6_bin.120	4952	127.1	36.1	0	0.389
Lib4_6_bin.120	3396	123.5	30.9	0.006	0.416
Lib4_6_bin.120	3963	123	35.7	0.033	0.395
Lib4_6_bin.120	5340	119.5	30.4	0.013	0.390
Lib4_6_bin.120	3088	117.7	21.5	0	0.369
Lib4_6_bin.120	3291	115.7	17.8	0	0.356
Lib4_6_bin.120	11490	120.7	31	0.009	0.381
Lib4_6_bin.120	3208	118.9	40	0	0.414
Lib4_6_bin.120	6462	119.6	17.3	0.038	0.366
Lib4_6_bin.120	4343	122.2	35.6	0.005	0.406
Lib4_6_bin.120	4748	122.1	32.9	0.006	0.388
Lib4_6_bin.120	3049	118.9	42.6	0.125	0.399
Lib4_6_bin.120	11863	123.8	46.2	0.015	0.412
Lib4_6_bin.120	3162	127.5	29.6	0.007	0.404
Lib4_6_bin.120	3496	123.4	34.1	0.01	0.412
Lib4_6_bin.120	3717	120.9	30.6	0.021	0.383
Lib4_6_bin.120	4904	126.1	36.6	0.017	0.406
Lib4_6_bin.120	4599	120.8	30	0	0.388
Lib4_6_bin.120	3951	118.4	29.8	0	0.381
Lib4_6_bin.120	2747	122.7	32.6	0	0.402
Lib4_6_bin.120	3510	116.8	26.5	0	0.366
Lib4_6_bin.120	3971	120.6	27.6	0	0.402
Lib4_6_bin.120	5815	123.7	25.5	0.015	0.382
Lib4_6_bin.120	2680	122	47.6	0.016	0.404
Lib4_6_bin.120	3498	124	40	0.025	0.401
Lib4_6_bin.120	4808	119.7	27.9	0.037	0.400
Lib4_6_bin.120	3111	131.5	35.3	0.038	0.415
Lib4_6_bin.120	3022	121.4	31	0	0.397
Lib4_6_bin.120	2961	121.7	30	0	0.379
Lib4_6_bin.120	3736	120.2	33.1	0.012	0.395
Lib4_6_bin.120	4861	122.3	31.8	0.012	0.413
Lib4_6_bin.120	3420	118.9	32.5	0.01	0.403
Lib4_6_bin.120	3484	124.2	36.3	0.006	0.390
Lib4_6_bin.120	4189	117.1	37.7	0.027	0.404
Lib4_6_bin.120	4208	126.5	35.9	0.006	0.407
Lib4_6_bin.120	3209	122.8	22.5	0	0.371
Lib4_6_bin.120	3084	120.9	26.8	0.013	0.383
Lib4_6_bin.120	2565	122.3	25.6	0.007	0.422
Lib4_6_bin.120	2685	124.4	44.2	0	0.410
Lib4_6_bin.120	2984	107.2	36.5	0.017	0.366
Lib4_6_bin.120	4070	124.3	35.4	0.038	0.403
Lib4_6_bin.120	4134	120.4	33.1	0.011	0.404
Lib4_6_bin.120	3270	114.7	28.4	0.045	0.394
Lib4_6_bin.120	3473	124.8	30.3	0.092	0.405
Lib4_6_bin.120	3108	128.3	36.2	0.021	0.397
Lib4_6_bin.120	3702	122.2	34.7	0	0.401
Lib4_6_bin.120	4783	118.1	28.4	0.017	0.382
Lib4_6_bin.120	2745	130.8	33.3	0	0.405
Lib4_6_bin.120	8333	121.7	36.2	0.008	0.400
Lib4_6_bin.120	2606	122	33.5	0.014	0.391
Lib4_6_bin.120	3857	124.9	39.8	0	0.391
